TEAM_ID,TEAM_NAME,TIME_OF_POSS,AVG_SEC_PER_TOUCH,SEASON,GAME_TYPE
1610612746,LA Clippers,21.1,2.95,2018-19,Regular Season
1610612747,Los Angeles Lakers,20.3,3.01,2018-19,Regular Season
1610612763,Memphis Grizzlies,22.0,2.93,2018-19,Regular Season
1610612748,Miami Heat,21.4,3.02,2018-19,Regular Season
1610612749,Milwaukee Bucks,20.3,2.97,2018-19,Regular Season
1610612750,Minnesota Timberwolves,21.4,3.07,2018-19,Regular Season
1610612740,New Orleans Pelicans,20.2,2.76,2018-19,Regular Season
1610612752,New York Knicks,21.3,3.05,2018-19,Regular Season
1610612760,Oklahoma City Thunder,19.4,3.13,2018-19,Regular Season
1610612753,Orlando Magic,21.4,3.16,2018-19,Regular Season
1610612755,Philadelphia 76ers,20.7,2.81,2018-19,Regular Season
1610612756,Phoenix Suns,21.4,2.98,2018-19,Regular Season
1610612757,Portland Trail Blazers,22.3,3.28,2018-19,Regular Season
1610612758,Sacramento Kings,20.0,2.86,2018-19,Regular Season
1610612759,San Antonio Spurs,21.2,3.17,2018-19,Regular Season
1610612761,Toronto Raptors,20.8,2.95,2018-19,Regular Season
1610612762,Utah Jazz,20.9,2.88,2018-19,Regular Season
1610612764,Washington Wizards,20.5,2.94,2018-19,Regular Season
1610612737,Atlanta Hawks,21.2,3.19,2019-20,Regular Season
1610612738,Boston Celtics,20.8,3.08,2019-20,Regular Season
1610612751,Brooklyn Nets,20.9,3.12,2019-20,Regular Season
1610612766,Charlotte Hornets,21.4,3.0,2019-20,Regular Season
1610612741,Chicago Bulls,20.6,3.03,2019-20,Regular Season
1610612739,Cleveland Cavaliers,21.9,3.18,2019-20,Regular Season
1610612742,Dallas Mavericks,21.6,3.13,2019-20,Regular Season
1610612743,Denver Nuggets,21.5,3.02,2019-20,Regular Season
1610612765,Detroit Pistons,21.8,3.19,2019-20,Regular Season
1610612744,Golden State Warriors,20.6,2.71,2019-20,Regular Season
1610612745,Houston Rockets,19.8,3.22,2019-20,Regular Season
1610612754,Indiana Pacers,21.1,3.04,2019-20,Regular Season
1610612746,LA Clippers,20.7,3.13,2019-20,Regular Season
1610612747,Los Angeles Lakers,20.2,2.98,2019-20,Regular Season
1610612763,Memphis Grizzlies,20.6,2.87,2019-20,Regular Season
1610612748,Miami Heat,21.8,3.16,2019-20,Regular Season
1610612749,Milwaukee Bucks,20.0,2.95,2019-20,Regular Season
1610612750,Minnesota Timberwolves,20.8,2.88,2019-20,Regular Season
1610612740,New Orleans Pelicans,19.9,2.67,2019-20,Regular Season
1610612752,New York Knicks,21.1,3.0,2019-20,Regular Season
1610612760,Oklahoma City Thunder,21.3,3.14,2019-20,Regular Season
1610612753,Orlando Magic,21.3,3.26,2019-20,Regular Season
1610612755,Philadelphia 76ers,21.6,3.07,2019-20,Regular Season
1610612756,Phoenix Suns,20.9,3.02,2019-20,Regular Season
1610612757,Portland Trail Blazers,21.6,3.54,2019-20,Regular Season
1610612758,Sacramento Kings,21.3,3.15,2019-20,Regular Season
1610612759,San Antonio Spurs,21.0,3.14,2019-20,Regular Season
1610612761,Toronto Raptors,20.6,2.97,2019-20,Regular Season
1610612762,Utah Jazz,21.4,3.08,2019-20,Regular Season
1610612764,Washington Wizards,20.4,2.83,2019-20,Regular Season
1610612737,Atlanta Hawks,21.4,3.24,2020-21,Regular Season
1610612738,Boston Celtics,20.8,3.07,2020-21,Regular Season
1610612751,Brooklyn Nets,20.2,3.05,2020-21,Regular Season
1610612766,Charlotte Hornets,20.2,2.85,2020-21,Regular Season
1610612741,Chicago Bulls,21.1,3.06,2020-21,Regular Season
1610612739,Cleveland Cavaliers,21.5,3.04,2020-21,Regular Season
1610612742,Dallas Mavericks,21.2,3.24,2020-21,Regular Season
1610612743,Denver Nuggets,21.2,3.06,2020-21,Regular Season
1610612765,Detroit Pistons,21.5,3.17,2020-21,Regular Season
1610612744,Golden State Warriors,19.5,2.73,2020-21,Regular Season
1610612745,Houston Rockets,20.3,3.06,2020-21,Regular Season
1610612754,Indiana Pacers,20.3,2.82,2020-21,Regular Season
1610612746,LA Clippers,20.9,3.15,2020-21,Regular Season
1610612747,Los Angeles Lakers,21.1,2.98,2020-21,Regular Season
1610612763,Memphis Grizzlies,20.3,3.03,2020-21,Regular Season
1610612748,Miami Heat,20.9,3.11,2020-21,Regular Season
1610612749,Milwaukee Bucks,19.8,3.13,2020-21,Regular Season
1610612750,Minnesota Timberwolves,20.9,2.97,2020-21,Regular Season
1610612740,New Orleans Pelicans,20.5,2.96,2020-21,Regular Season
1610612752,New York Knicks,21.6,3.29,2020-21,Regular Season
1610612760,Oklahoma City Thunder,20.8,3.05,2020-21,Regular Season
1610612753,Orlando Magic,21.5,3.29,2020-21,Regular Season
1610612755,Philadelphia 76ers,21.1,2.94,2020-21,Regular Season
1610612756,Phoenix Suns,20.8,3.09,2020-21,Regular Season
1610612757,Portland Trail Blazers,21.2,3.5,2020-21,Regular Season
1610612758,Sacramento Kings,20.4,3.07,2020-21,Regular Season
1610612759,San Antonio Spurs,21.0,3.3,2020-21,Regular Season
1610612761,Toronto Raptors,20.5,2.98,2020-21,Regular Season
1610612762,Utah Jazz,20.5,2.99,2020-21,Regular Season
1610612764,Washington Wizards,19.9,3.05,2020-21,Regular Season
1610612737,Atlanta Hawks,20.3,2.99,2013-14,Playoffs
1610612751,Brooklyn Nets,21.1,3.21,2013-14,Playoffs
1610612766,Charlotte Bobcats,19.8,2.8,2013-14,Playoffs
1610612741,Chicago Bulls,21.8,3.31,2013-14,Playoffs
1610612742,Dallas Mavericks,21.2,3.21,2013-14,Playoffs
1610612744,Golden State Warriors,20.5,3.34,2013-14,Playoffs
1610612745,Houston Rockets,21.6,3.16,2013-14,Playoffs
1610612754,Indiana Pacers,21.9,3.36,2013-14,Playoffs
1610612746,Los Angeles Clippers,21.1,2.99,2013-14,Playoffs
1610612763,Memphis Grizzlies,24.0,3.16,2013-14,Playoffs
1610612748,Miami Heat,21.1,3.3,2013-14,Playoffs
1610612760,Oklahoma City Thunder,21.0,3.48,2013-14,Playoffs
1610612757,Portland Trail Blazers,21.8,3.34,2013-14,Playoffs
1610612759,San Antonio Spurs,21.0,2.95,2013-14,Playoffs
1610612761,Toronto Raptors,21.8,3.48,2013-14,Playoffs
1610612764,Washington Wizards,20.3,3.04,2013-14,Playoffs
1610612737,Atlanta Hawks,20.2,2.96,2014-15,Playoffs
1610612738,Boston Celtics,19.2,3.02,2014-15,Playoffs
1610612751,Brooklyn Nets,21.8,3.16,2014-15,Playoffs
1610612741,Chicago Bulls,21.4,2.94,2014-15,Playoffs
1610612739,Cleveland Cavaliers,23.1,3.66,2014-15,Playoffs
1610612742,Dallas Mavericks,21.6,3.17,2014-15,Playoffs
1610612744,Golden State Warriors,20.3,2.9,2014-15,Playoffs
1610612745,Houston Rockets,20.4,2.98,2014-15,Playoffs
1610612746,Los Angeles Clippers,21.0,3.07,2014-15,Playoffs
1610612763,Memphis Grizzlies,23.3,3.25,2014-15,Playoffs
1610612749,Milwaukee Bucks,19.9,2.94,2014-15,Playoffs
1610612740,New Orleans Pelicans,23.6,3.53,2014-15,Playoffs
1610612757,Portland Trail Blazers,19.5,3.29,2014-15,Playoffs
1610612759,San Antonio Spurs,21.8,2.78,2014-15,Playoffs
1610612761,Toronto Raptors,21.0,3.32,2014-15,Playoffs
