TEAM_ID,SEASON,GAME_TYPE,TEAM_NAME,TEAM_CITY,TEAM_NAME,TIME_OF_POSS,AVG_SEC_PER_TOUCH
1610612762,2016,Regular Season,Utah Jazz,Utah,Jazz,21.7,3.03
1610612764,2016,Regular Season,Washington Wizards,Washington,Wizards,20.6,3.21
1610612737,2017,Regular Season,Atlanta Hawks,Atlanta,Hawks,20.9,2.79
1610612738,2017,Regular Season,Boston Celtics,Boston,Celtics,21.2,3.01
1610612751,2017,Regular Season,Brooklyn Nets,Brooklyn,Nets,21.4,2.86
1610612766,2017,Regular Season,Charlotte Hornets,Charlotte,Hornets,20.8,3.11
1610612741,2017,Regular Season,Chicago Bulls,Chicago,Bulls,19.8,2.81
1610612739,2017,Regular Season,Cleveland Cavaliers,Cleveland,Cavaliers,20.5,3.13
1610612742,2017,Regular Season,Dallas Mavericks,Dallas,Mavericks,21.8,3.11
1610612743,2017,Regular Season,Denver Nuggets,Denver,Nuggets,20.8,2.94
1610612765,2017,Regular Season,Detroit Pistons,Detroit,Pistons,20.8,2.98
1610612744,2017,Regular Season,Golden State Warriors,Golden State,Warriors,19.4,2.63
1610612745,2017,Regular Season,Houston Rockets,Houston,Rockets,20.8,3.34
1610612754,2017,Regular Season,Indiana Pacers,Indiana,Pacers,20.8,3
1610612746,2017,Regular Season,Los Angeles Clippers,Los Angeles,Clippers,20.4,2.92
1610612747,2017,Regular Season,Los Angeles Lakers,Los Angeles,Lakers,19.9,2.94
1610612763,2017,Regular Season,Memphis Grizzlies,Memphis,Grizzlies,21.5,2.93
1610612748,2017,Regular Season,Miami Heat,Miami,Heat,21.9,3.09
1610612749,2017,Regular Season,Milwaukee Bucks,Milwaukee,Bucks,20,2.99
1610612750,2017,Regular Season,Minnesota Timberwolves,Minnesota,Timberwolves,21.8,3.22
1610612740,2017,Regular Season,New Orleans Pelicans,New Orleans,Pelicans,19.9,2.77
1610612752,2017,Regular Season,New York Knicks,New York,Knicks,21.1,2.87
1610612760,2017,Regular Season,Oklahoma City Thunder,Oklahoma City,Thunder,20.3,3.22
1610612753,2017,Regular Season,Orlando Magic,Orlando,Magic,20.7,3.02
1610612755,2017,Regular Season,Philadelphia 76ers,Philadelphia,76ers,20.2,2.59
1610612756,2017,Regular Season,Phoenix Suns,Phoenix,Suns,20.5,2.96
1610612757,2017,Regular Season,Portland Trail Blazers,Portland,Trail Blazers,22.1,3.4
1610612758,2017,Regular Season,Sacramento Kings,Sacramento,Kings,21.3,2.94
1610612759,2017,Regular Season,San Antonio Spurs,San Antonio,Spurs,21.4,2.97
1610612761,2017,Regular Season,Toronto Raptors,Toronto,Raptors,21,2.99
1610612762,2017,Regular Season,Utah Jazz,Utah,Jazz,21.5,2.94
1610612764,2017,Regular Season,Washington Wizards,Washington,Wizards,21.1,3.07
1610612737,2018,Regular Season,Atlanta Hawks,Atlanta,Hawks,20.7,2.88
1610612738,2018,Regular Season,Boston Celtics,Boston,Celtics,20.1,2.87
1610612751,2018,Regular Season,Brooklyn Nets,Brooklyn,Nets,21.4,2.94
1610612766,2018,Regular Season,Charlotte Hornets,Charlotte,Hornets,21.2,3.09
1610612741,2018,Regular Season,Chicago Bulls,Chicago,Bulls,21.2,3.14
1610612739,2018,Regular Season,Cleveland Cavaliers,Cleveland,Cavaliers,22.1,3.28
1610612742,2018,Regular Season,Dallas Mavericks,Dallas,Mavericks,21.5,2.95
1610612743,2018,Regular Season,Denver Nuggets,Denver,Nuggets,21.1,2.91
1610612765,2018,Regular Season,Detroit Pistons,Detroit,Pistons,22,3.07
1610612744,2018,Regular Season,Golden State Warriors,Golden State,Warriors,19.4,2.62
1610612745,2018,Regular Season,Houston Rockets,Houston,Rockets,21.3,3.48
1610612754,2018,Regular Season,Indiana Pacers,Indiana,Pacers,20.9,2.93
1610612746,2018,Regular Season,Los Angeles Clippers,Los Angeles,Clippers,21.1,2.95
1610612747,2018,Regular Season,Los Angeles Lakers,Los Angeles,Lakers,20.3,3.01
1610612763,2018,Regular Season,Memphis Grizzlies,Memphis,Grizzlies,22,2.93
1610612748,2018,Regular Season,Miami Heat,Miami,Heat,21.4,3.02
1610612749,2018,Regular Season,Milwaukee Bucks,Milwaukee,Bucks,20.3,2.97
1610612750,2018,Regular Season,Minnesota Timberwolves,Minnesota,Timberwolves,21.4,3.07
1610612740,2018,Regular Season,New Orleans Pelicans,New Orleans,Pelicans,20.2,2.76
1610612752,2018,Regular Season,New York Knicks,New York,Knicks,21.3,3.05
1610612760,2018,Regular Season,Oklahoma City Thunder,Oklahoma City,Thunder,19.4,3.13
